id,code,name,reconcile,user_type_id/id
account_one_110000,110000,現金及約當現金,FALSE,account.data_account_type_liquidity
account_one_110100,110100,庫存現金,FALSE,account.data_account_type_liquidity
account_one_110200,110200,零用金／週轉金,FALSE,account.data_account_type_liquidity
account_one_110300,110300,銀行存款,FALSE,account.data_account_type_liquidity
account_one_110500,110500,在途現金,FALSE,account.data_account_type_liquidity
account_one_110700,110700,約當現金,FALSE,account.data_account_type_liquidity
account_one_111000,111000,透過損益按公允價值衡量之金融資產-流動,FALSE,account.data_account_type_current_assets
account_one_111100,111100,原始認列時指定為透過損益按公允價值衡量之金融資產-流動,FALSE,account.data_account_type_current_assets
account_one_111200,111200,原始認列時指定為透過損益按公允價值衡量之金融資產評價調整-流動,FALSE,account.data_account_type_current_assets
account_one_111300,111300,強制透過損益按公允價值衡量之金融資產-流動,FALSE,account.data_account_type_current_assets
account_one_111400,111400,強制透過損益按公允價值衡量之金融資產評價調整-流動,FALSE,account.data_account_type_current_assets
account_one_111500,111500,持有供交易之金融資產-流動,FALSE,account.data_account_type_current_assets
account_one_111600,111600,持有供交易之金融資產評價調整-流動,FALSE,account.data_account_type_current_assets
account_one_112000,112000,透過其他綜合損益按公允價值衡量之金融資產-流動,FALSE,account.data_account_type_current_assets
account_one_112100,112100,透過其他綜合損益按公允價值衡量之權益工具投資-流動,FALSE,account.data_account_type_current_assets
account_one_112200,112200,透過其他綜合損益按公允價值衡量之權益工具投資評價調整-流動,FALSE,account.data_account_type_current_assets
account_one_112300,112300,透過其他綜合損益按公允價值衡量之債務工具投資-流動,FALSE,account.data_account_type_current_assets
account_one_112400,112400,透過其他綜合損益按公允價值衡量之債務工具投資評價調整-流動,FALSE,account.data_account_type_current_assets
account_one_112600,112600,備供出售金融資產-流動,FALSE,account.data_account_type_current_assets
account_one_112700,112700,備供出售金融資產評價調整-流動,FALSE,account.data_account_type_current_assets
account_one_112900,112900,累計減損-備供出售金融資產-流動,FALSE,account.data_account_type_current_assets
account_one_113000,113000,持有至到期日金融資產-流動,FALSE,account.data_account_type_current_assets
account_one_113100,113100,持有至到期日金融資產-流動,FALSE,account.data_account_type_current_assets
account_one_113200,113200,累計減損-持有至到期日金融資產-流動,FALSE,account.data_account_type_current_assets
account_one_113500,113500,避險之衍生金融資產-流動,FALSE,account.data_account_type_current_assets
account_one_113600,113600,按攤銷後成本衡量之金融資產-流動,FALSE,account.data_account_type_current_assets
account_one_113700,113700,按攤銷後成本衡量之金融資產-流動,FALSE,account.data_account_type_current_assets
account_one_113800,113800,備抵損失-按攤銷後成本衡量之金融資產-流動,FALSE,account.data_account_type_current_assets
account_one_113900,113900,避險之金融資產-流動,FALSE,account.data_account_type_current_assets
account_one_114100,114100,合約資產-流動,FALSE,account.data_account_type_current_assets
account_one_114200,114200,備抵損失-合約資產-流動,FALSE,account.data_account_type_current_assets
account_one_114500,114500,以成本衡量之金融資產-流動,FALSE,account.data_account_type_current_assets
account_one_114600,114600,累計減損-以成本衡量之金融資產-流動,FALSE,account.data_account_type_current_assets
account_one_114700,114700,無活絡市場之債務工具投資-流動,FALSE,account.data_account_type_current_assets
account_one_114800,114800,無活絡市場之債務工具投資-流動,FALSE,account.data_account_type_current_assets
account_one_114900,114900,累計減損-無活絡市場之債務工具投資-流動,FALSE,account.data_account_type_current_assets
account_one_115100,115100,應收票據,TRUE,account.data_account_type_receivable
account_one_115200,115200,其他應收票據,TRUE,account.data_account_type_receivable
account_one_115300,115300,應收票據貼現,TRUE,account.data_account_type_receivable
account_one_115900,115900,備抵呆帳-應收票據,TRUE,account.data_account_type_receivable
account_one_116100,116100,應收票據-關係人,TRUE,account.data_account_type_receivable
account_one_116200,116200,其他應收票據-關係人,TRUE,account.data_account_type_receivable
account_one_116300,116300,應收票據貼現-關係人,TRUE,account.data_account_type_receivable
account_one_116900,116900,備抵損失-應收關係人票據,TRUE,account.data_account_type_receivable
account_one_117100,117100,應收銷售及管理費(證券投資信託業適用),TRUE,account.data_account_type_receivable
account_one_117300,117300,應收分期帳款,TRUE,account.data_account_type_receivable
account_one_117400,117400,未實現利息收入-應收分期帳款,TRUE,account.data_account_type_receivable
account_one_117500,117500,應收租賃款,TRUE,account.data_account_type_receivable
account_one_117600,117600,融資租賃之未賺得融資收益,TRUE,account.data_account_type_receivable
account_one_117700,117700,備抵銷售退回及折讓,TRUE,account.data_account_type_receivable
account_one_117900,117900,備抵呆帳-應收帳款、分期帳款及租賃款,TRUE,account.data_account_type_receivable
account_one_118100,118100,應收帳款-關係人,TRUE,account.data_account_type_receivable
account_one_118200,118200,應收分期帳款-關係人,TRUE,account.data_account_type_receivable
account_one_118300,118300,未實現利息收入-應收關係人分期帳款,TRUE,account.data_account_type_receivable
